company,report_type,year,pdf_filename,page_number,page_label,section_title,word_count,char_count,pdf_path,final_url
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,37,37,2025 Taxonomy: A Company in Transition,318,2220,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,38,38,Our Energy Transition-Related Risks,255,1710,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,39,39,Adapting to Physical Risks,568,3588,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,40,40,Adapting to Physical Risks,436,2687,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,41,41,Adapting to Physical Risks,635,4430,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,42,42,Adapting to Physical Risks,233,1580,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,43,43,Our Extra-financial Ratings,415,2734,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,44,44,Climate & Sustainable Energy,199,1376,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,45,45,vs 2015 - 36% - 38%,252,1291,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,46,46,How TotalEnergies’ 2030 Objectives Compare to the IEA Scenarios,515,3180,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,47,47,Reducing Our Emissions,580,3385,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,48,48,S,493,3202,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,49,49,S,408,2658,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,50,50,Decarbonizing our Operated Sites Through Low-Carbon Electricity Supply and Electriﬁcation,654,4110,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,51,51,Aiming for Zero Methane Emissions,517,3226,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,52,52,Aiming for Zero Methane Emissions,744,4691,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,53,53,Aiming for Zero Methane Emissions,577,3599,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,54,54,Aiming for Zero Methane Emissions,712,4522,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,55,55,Actively Working with Our Partners on Non-operated Assets,570,3638,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,56,56,Actively Working with Our Partners on Non-operated Assets,502,3242,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,57,57,Reducing Our Customers Emissions,287,1850,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,58,58,LARGE COMPANIES 37,549,3868,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,59,59,FOCUS,270,1811,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,60,60,FOCUS,581,3805,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,61,61,Developing Electric Mobility,458,3104,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,62,62,New Low-carbon Energy,392,2577,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,63,63,What are the Relevant Indicators for Reducing GHG Emissions Worldwide?,469,3079,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,64,64,"Enabled Emissions Reductions (""Scope 4"")",772,4607,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,65,65,Solutions for residual emissions,652,4048,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,66,66,Oﬀsetting Residual Emissions with Nature-based Carbon Sinks,476,3258,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,67,67,Innovating to Accelerate the Energy Transition,418,2816,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,68,68,Innovating to Accelerate the Energy Transition,727,5158,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,69,69,Acting for the Well-Being of Employees,83,514,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,70,70,Ensuring People’s Safety,375,2446,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,71,71,"Life Saving Checks 13,000",632,4085,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,72,72,"Life Saving Checks 13,000",482,3324,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,73,73,Our Employees Committed to Transition,483,3155,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,74,74,Five Levers to Mobilize Our Employees,650,3997,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,75,75,FOCUS,434,2907,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,76,76,Develop and Support Talent in the Transition,444,2964,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,77,77,Building a Good Place to Work,477,2990,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,78,78,FOCUS,381,2431,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
